"","x5","x4","x3","x2","x1","x7","x6"
"1",-0.130829477971127,2,"hi","c","cindy","d",2
"2",-0.677799382244884,3,"lo","a","marcia","d",5
"3",0.143579090934559,5,"med","b","marcia","b",1
"4",-999,3,"lo","a","marcia","a",4
"5",-0.184596890104363,999,"med","c","greg","a",5
"6",-999,4,"hi","a","bobby","d",5
"7",0.134856711104443,2,"hi","c","cindy","f",2
"8",0.135013435354999,5,"lo","c","cindy","d",5
"9",0.8004993619593,5,"med","b","marcia","d",4
"10",-0.579776674560666,3,"hi","f","peter","f",2
"11",0.968884869487479,5,"med","c","greg","f",4
"12",-0.284000944479945,2,"lo","a","peter","f",1
"13",0.361908638217549,1,"med","a","greg","f",4
"14",-0.364665095111503,3,"hi","a","marcia","d",1
"15",-0.564697216102258,3,"med","f","bobby","f",3
"16",0.103515807150809,4,"hi","a","peter","d",1
"17",1.86443164164251,4,"hi","a","peter","b",4
"18",-1.41043365809449,3,"lo","c","cindy","d",2
"19",0.188132136468782,1,"med","f","greg","a",3
"20",-1.16488519135195,3,"med","d","bobby","b",5
"21",1.00097804449932,2,"med","f","greg","d",5
"22",0.878288847234836,2,"med","d","peter","b",5
"23",-1.4542384173923,999,"hi","c","peter","b",5
"24",-0.824672706913226,2,"med","a","marcia","c",4
"25",-1.96843142292817,5,"med","a","marcia","a",4
"26",1.16916432697769,6,"lo","d","marcia","c",3
"27",-0.591493122995753,4,"lo","f","greg","c",2
"28",-1.2331390129648,5,"hi","b","bobby","f",1
"29",-0.936956888019674,6,"hi","f","cindy","b",5
"30",0.558447103066899,2,"med","b","bobby","c",2
"31",-0.330967512661558,7,"lo","b","cindy","f",2
"32",-0.299039052107624,4,"med","d","bobby","c",5
"33",0.0586540658056343,3,"hi","d","marcia","b",1
"34",-0.250594231553389,3,"lo","b","peter","d",1
"35",-0.623400055239195,2,"lo","d","greg","a",2
"36",-0.0198082450349602,1,"hi","c","cindy","f",5
"37",1.00117490858047,0,"lo","b","marcia","d",3
"38",-1.42670402604539,0,"lo","b","bobby","f",3
"39",0.802386271213469,1,"hi","f","greg","f",3
"40",0.519053205798724,5,"med","b","marcia","a",2
"41",0.387111892729672,2,"med","b","marcia","a",2
"42",0.957083387147053,1,"hi","f","peter","c",4
"43",0.214228771197521,4,"med","a","greg","d",3
"44",-0.808475772826412,5,"med","d","bobby","a",3
"45",0.67754493249985,4,"hi","c","cindy","f",4
"46",-1.01240400937066,2,"hi","c","marcia","d",1
"47",0.0562128702464757,2,"lo","c","marcia","c",4
"48",2.21107034160821,2,"hi","c","marcia","f",2
"49",-0.929532591722511,1,"lo","f","cindy","f",4
"50",0.0484439345524479,4,"med","c","greg","a",1
"51",-1.68718551771797,0,"lo","d","bobby","b",4
"52",-1.34275974300716,2,"hi","a","peter","f",2
"53",-999,7,"hi","b","greg","b",1
"54",-0.723862178824468,3,"hi","b","bobby","b",4
"55",1.02371199445575,3,"med","c","greg","d",4
"56",-0.876259492413611,5,"med","d","marcia","a",2
"57",1.07862470798788,4,"lo","d","bobby","d",5
"58",-0.0990982135933148,2,"hi","d","marcia","d",3
"59",-1.35285400253369,4,"lo","b","bobby","f",5
"60",1.77355085964973,1,"med","a","bobby","b",3
"61",-0.64802818612565,0,"hi","f","marcia","b",1
"62",-0.0495686254810709,1,"med","b","greg","d",5
"63",-0.276419084219591,2,"lo","a","bobby","f",5
"64",0.0884369304216382,1,"lo","b","cindy","c",5
"65",-0.250544374490132,3,"med","f","greg","a",1
"66",0.520479077537084,4,"lo","c","bobby","f",3
"67",-0.229649531036122,3,"hi","f","marcia","f",3
"68",0.813548884379849,5,"hi","d","bobby","d",3
"69",0.410828885102228,1,"med","f","peter","c",3
"70",-0.939276462209849,2,"lo","b","cindy","c",2
"71",-0.933012780280861,1,"hi","a","bobby","b",1
"72",-0.350211238883682,2,"lo","f","cindy","f",2
"73",0.359970755012299,0,"lo","b","greg","d",5
"74",0.673805479634706,3,"lo","f","cindy","d",4
"75",-0.899410720211371,3,"med","d","marcia","a",1
"76",0.64407026693818,4,"hi","c","marcia","f",5
"77",-0.374401304646271,2,"lo","b","bobby","c",2
"78",-0.838885175796864,5,"hi","f","cindy","d",3
"79",-0.420382404821348,1,"med","c","marcia","c",2
"80",-0.961377511227588,5,"hi","c","cindy","a",1
"81",-1.06488668618691,2,"hi","b","peter","f",1
"82",1.14283423643895,1,"hi","b","peter","f",3
"83",-1.84405469604826,1,"med","a","peter","f",2
"84",0.0543950966585619,2,"hi","a","peter","f",3
"85",-999,1,"hi","c","greg","a",1
"86",-0.589822166955551,5,"hi","c","peter","f",2
"87",-1.8442629149304,3,"hi","a","marcia","d",4
"88",0.0230704145001906,1,"med","d","marcia","d",2
"89",0.0515650008208586,2,"hi","d","peter","f",3
"90",0.335502089593225,2,"med","b","marcia","a",2
"91",-0.266135331878957,2,"hi","f","marcia","b",1
"92",0.375041189413756,2,"lo","c","marcia","c",1
"93",-0.295613357870142,999,"med","a","bobby","c",1
"94",-0.266004965530983,4,"med","c","cindy","a",2
"95",-999,3,"med","b","cindy","a",2
"96",-0.0439611186187257,2,"med","a","bobby","f",2
"97",-0.0695957373882183,2,"lo","c","greg","b",5
"98",0.393981137454465,3,"hi","c","peter","b",3
"99",0.515327660039576,3,"lo","b","marcia","d",3
"100",-0.00910333746862187,999,"lo","c","marcia","a",1
"101",-0.126723650550886,2,"hi","c","marcia","c",4
"102",-2.35650055499888,2,"med","c","greg","c",4
"103",-0.631335899639465,3,"lo","f","marcia","a",1
"104",1.73215624916069,999,"hi","a","peter","d",2
"105",0.392737017123631,2,"lo","f","marcia","c",3
"106",-0.459172306639104,3,"lo","a","peter","a",4
"107",-1.43479295224102,3,"med","c","bobby","d",2
"108",0.231403792524425,999,"lo","d","peter","a",4
"109",0.113692315022513,3,"hi","b","cindy","d",1
"110",1.46863270244782,2,"hi","f","bobby","d",4
"111",-999,2,"lo","f","cindy","f",4
"112",0.0108162055154636,6,"med","c","marcia","c",3
"113",-0.308049246288275,5,"med","a","peter","f",4
"114",1.95408675530962,2,"lo","b","greg","a",5
"115",2.28308327294473,4,"med","a","peter","a",2
"116",0.311147800495818,3,"med","b","greg","b",3
"117",0.703814409745936,3,"lo","d","cindy","b",3
"118",-999,3,"hi","c","cindy","a",2
"119",-999,4,"hi","d","bobby","d",3
"120",0.544611760966446,4,"hi","f","peter","c",4
"121",0.38019807067884,11,"lo","d","greg","c",5
"122",0.399895466594883,3,"med","c","bobby","a",3
"123",-0.336961808819471,3,"med","c","bobby","b",4
"124",0.20438854126538,5,"hi","f","peter","f",1
"125",-0.498182988367106,4,"lo","d","cindy","f",5
"126",-1.57213922394942,3,"med","b","peter","a",2
"127",-0.324311797496343,5,"hi","b","greg","b",4
